episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,8,0,handoff_failed,0,,0,0,0
1,8,0,handoff_failed,0,,0,0,0
2,4,1,DONE_OK,99,,0,0,0
3,8,0,handoff_failed,0,,0,0,0
4,8,0,handoff_failed,0,,0,0,0
5,8,0,handoff_failed,0,,0,0,0
6,8,0,handoff_failed,0,,0,0,0
7,8,0,handoff_failed,0,,0,0,0
8,8,0,handoff_failed,0,,0,0,0
9,8,0,handoff_failed,0,,0,0,0
10,8,0,handoff_failed,0,,0,0,0
11,8,0,handoff_failed,0,,0,0,0
12,2,0,DONE_FAIL,275,,1,0,0
13,8,0,handoff_failed,0,,0,0,0
14,8,0,handoff_failed,0,,0,0,0
15,8,0,handoff_failed,0,,0,0,0
16,8,0,handoff_failed,0,,0,0,0
17,8,0,handoff_failed,0,,0,0,0
18,8,0,handoff_failed,0,,0,0,0
19,1,1,DONE_OK,95,,0,0,0
20,5,1,DONE_OK,95,,0,0,0
21,8,0,handoff_failed,0,,0,0,0
22,8,0,handoff_failed,0,,0,0,0
23,8,0,handoff_failed,0,,0,0,0
24,8,0,handoff_failed,0,,0,0,0
25,8,0,handoff_failed,0,,0,0,0
26,8,0,handoff_failed,0,,0,0,0
27,4,1,DONE_OK,109,,0,0,0
28,8,1,DONE_OK,96,,0,0,0
29,8,0,handoff_failed,0,,0,0,0
30,8,0,handoff_failed,0,,0,0,0
31,8,0,handoff_failed,0,,0,0,0
32,8,0,handoff_failed,0,,0,0,0
33,8,0,handoff_failed,0,,0,0,0
34,8,0,DONE_FAIL,268,,1,0,0
35,8,0,handoff_failed,0,,0,0,0
36,8,0,handoff_failed,0,,0,0,0
37,8,0,handoff_failed,0,,0,0,0
38,8,0,handoff_failed,0,,0,0,0
39,8,0,handoff_failed,0,,0,0,0
40,8,0,handoff_failed,0,,0,0,0
41,8,0,handoff_failed,0,,0,0,0
42,8,0,handoff_failed,0,,0,0,0
43,8,0,handoff_failed,0,,0,0,0
44,8,0,handoff_failed,0,,0,0,0
45,8,0,handoff_failed,0,,0,0,0
46,8,0,handoff_failed,0,,0,0,0
47,4,1,DONE_OK,124,,0,0,0
48,8,0,handoff_failed,0,,0,0,0
49,8,0,handoff_failed,0,,0,0,0
