episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,124,7,1,1,0,1
1,latch,1,123,7,1,1,0,1
2,latch,1,121,7,1,1,0,1
3,latch,1,166,7,1,1,0,1
4,latch,1,161,7,2,1,1,1
5,latch,1,127,7,1,1,0,1
6,latch,1,158,7,1,1,0,1
7,latch,1,129,7,1,1,0,1
8,latch,1,162,7,1,1,0,1
9,latch,1,116,7,1,1,0,1
10,latch,1,145,7,1,1,0,1
11,latch,1,149,7,1,1,0,1
12,latch,1,142,7,1,1,0,1
13,latch,1,164,7,1,1,0,1
14,latch,0,330,8,3,1,2,1
15,latch,0,339,8,1,1,0,1
16,latch,1,126,7,1,1,0,1
17,latch,1,133,7,2,1,1,1
18,latch,1,166,7,2,1,1,1
19,latch,1,161,7,2,1,1,1
20,latch,1,118,7,1,1,0,1
21,latch,1,174,7,2,1,1,1
22,latch,1,134,7,1,1,0,1
23,latch,1,158,7,1,1,0,1
24,latch,1,112,7,3,1,2,1
25,latch,1,167,7,1,1,0,1
26,latch,1,144,7,1,1,0,1
27,latch,1,146,7,1,1,0,1
28,latch,1,137,7,1,1,0,1
29,latch,1,132,7,1,1,0,1
30,latch,1,147,7,1,1,0,1
31,latch,0,170,8,1,1,0,1
32,latch,1,164,7,3,1,2,1
33,latch,1,134,7,1,1,0,1
34,latch,1,133,7,1,1,0,1
35,latch,0,250,8,1,1,0,0
36,latch,1,141,7,1,1,0,1
37,latch,0,129,8,3,1,2,1
38,latch,1,112,7,1,1,0,1
39,latch,1,139,7,1,1,0,1
40,latch,1,150,7,2,1,1,1
41,latch,1,133,7,1,1,0,1
42,latch,1,152,7,1,1,0,1
43,latch,1,163,7,1,1,0,1
44,latch,1,163,7,2,1,1,1
45,latch,1,91,7,1,1,0,1
46,latch,1,159,7,3,1,2,1
47,latch,0,467,8,4,1,3,1
48,latch,1,139,7,2,1,1,1
49,latch,0,83,8,1,1,0,1
